KOD;NAZEV;ZKRATKA;PLATNOST_OD;PLATNOST_DO
1;průmyslový objekt;prům.obj;01.01.1993 00:00:00;
2;zemědělská usedlost;zem.used;01.01.1993 00:00:00;
3;objekt k bydlení;bydlení;01.01.1993 00:00:00;
4;objekt lesního hospodářství;les.hosp;01.01.1993 00:00:00;
5;objekt občanské vybavenosti;obč.vyb;01.01.1993 00:00:00;
6;bytový dům;byt.dům;01.01.1993 00:00:00;
7;rodinný dům;rod.dům;01.01.1993 00:00:00;
8;stavba pro rodinnou rekreaci;rod.rekr;01.01.1993 00:00:00;
9;stavba pro shromažďování většího počtu osob;shromaž.;01.01.1993 00:00:00;
10;stavba pro obchod;obchod;01.01.1993 00:00:00;
11;stavba ubytovacího zařízení;ubyt.zař;01.01.1993 00:00:00;
12;stavba pro výrobu a skladování;výroba;01.01.1993 00:00:00;
13;zemědělská stavba;zem.stav;01.01.1993 00:00:00;
14;stavba pro administrativu;adminis.;01.01.1993 00:00:00;
15;stavba občanského vybavení;obč.vyb.;01.01.1993 00:00:00;
16;stavba technického vybavení;tech.vyb;01.01.1993 00:00:00;
17;stavba pro dopravu;doprava;01.01.1993 00:00:00;
18;garáž;garáž;01.01.1993 00:00:00;
19;jiná stavba;jiná st.;01.01.1993 00:00:00;
20;víceúčelová stavba;víceúčel;01.03.2007 00:00:00;
21;skleník;skleník;01.03.2007 00:00:00;
22;přehrada;přehrada;01.01.2007 00:00:00;
23;hráz přehrazující vodní tok nebo údolí;hráz př.;01.01.2007 00:00:00;
24;hráz k ochraně nemovitostí před zaplavením při povodni;hráz pod;01.01.2007 00:00:00;
25;hráz ohrazující umělou vodní nádrž;hráz ohr;01.01.2007 00:00:00;
26;jez;jez;01.01.2007 00:00:00;
27;stavba k plaveb.účelům v korytech nebo na březích vod.toků;plav.úč.;01.01.2007 00:00:00;
28;stavba k využití vodní energie (vodní elektrárna);vodní el;01.01.2007 00:00:00;
29;stavba odkaliště;odkališ.;01.01.2007 00:00:00;
